timestamp,id_maquina,temperatura_c,pressao_psi,vibracao_mm_s
2025-04-19 01:33:32.567632,MCH_0004,79.46,35.45,1.2
2025-05-10 10:03:32.567632,MCH_0051,58.8,27.46,1.29
2025-06-01 02:18:32.567632,MCH_0011,73.51,28.92,0.72
2025-04-28 06:03:32.567632,MCH_0029,83.41,38.98,1.28
2025-04-21 11:33:32.567632,MCH_0088,79.36,35.89,0.92
2025-04-02 01:48:32.567632,MCH_0068,80.72,30.43,1.13
2025-05-25 05:48:32.567632,MCH_0062,76.72,24.0,1.08
2025-06-02 21:18:32.567632,MCH_0017,66.85,40.54,1.17
2025-05-15 22:48:32.567632,MCH_0001,69.21,26.64,1.61
2025-05-23 13:48:32.567632,MCH_0078,83.59,24.65,1.04
2025-05-15 09:03:32.567632,MCH_0042,81.47,33.41,1.32
2025-04-12 11:48:32.567632,MCH_0035,85.49,30.36,1.19
2025-04-25 18:33:32.567632,MCH_0054,74.64,23.94,1.19
2025-04-02 06:18:32.567632,MCH_0086,87.48,32.74,1.08
2025-05-19 01:18:32.567632,MCH_0010,71.2,28.18,1.36
2025-04-20 21:48:32.567632,MCH_0025,56.83,26.62,1.1
2025-04-17 01:33:32.567632,MCH_0091,62.1,28.75,0.88
2025-04-19 23:48:32.567632,MCH_0044,75.42,33.72,1.38
2025-06-02 16:33:32.567632,MCH_0027,89.61,33.27,1.05
2025-03-27 18:33:32.567632,MCH_0030,48.22,29.02,1.39
2025-06-04 15:18:32.567632,MCH_0045,69.47,32.16,1.1
2025-04-21 10:18:32.567632,MCH_0023,79.87,29.17,0.86
2025-03-18 11:03:32.567632,MCH_0031,77.81,28.55,0.88
2025-03-10 18:33:32.567632,MCH_0012,65.57,32.15,1.23
2025-05-30 02:33:32.567632,MCH_0061,74.28,31.8,1.52
2025-04-29 04:03:32.567632,MCH_0065,66.38,30.74,1.09
2025-06-10 05:03:32.567632,MCH_0007,77.82,33.14,0.63
2025-05-22 17:48:32.567632,MCH_0012,76.89,19.59,1.05
2025-04-18 00:18:32.567632,MCH_0060,66.34,41.78,1.02
2025-04-21 00:48:32.567632,MCH_0092,88.03,26.42,1.57
2025-05-01 00:03:32.567632,MCH_0095,72.68,32.47,1.18
2025-04-29 21:18:32.567632,MCH_0010,60.45,30.0,0.32
2025-05-02 18:03:32.567632,MCH_0010,77.84,37.73,1.26
2025-05-07 07:18:32.567632,MCH_0039,57.78,32.6,1.35
2025-03-09 01:18:32.567632,MCH_0059,73.84,37.67,1.12
2025-06-03 19:48:32.567632,MCH_0035,66.36,28.87,1.55
2025-06-08 12:48:32.567632,MCH_0011,70.9,27.47,1.7
2025-04-30 06:18:32.567632,MCH_0099,65.56,40.06,1.42
2025-05-15 15:33:32.567632,MCH_0039,72.44,25.54,0.61
2025-03-03 20:48:32.567632,MCH_0076,74.57,31.54,0.98
2025-03-21 02:33:32.567632,MCH_0042,79.92,24.69,1.61
2025-05-17 19:18:32.567632,MCH_0089,71.79,33.18,1.31
2025-03-27 15:33:32.567632,MCH_0046,50.86,30.18,1.14
2025-05-30 19:18:32.567632,MCH_0055,80.11,33.58,1.06
2025-05-27 04:18:32.567632,MCH_0092,80.93,39.21,1.75
2025-05-19 22:18:32.567632,MCH_0076,80.87,20.04,0.91
2025-03-10 20:03:32.567632,MCH_0088,57.46,29.11,0.92
2025-03-25 05:18:32.567632,MCH_0065,64.74,29.92,1.2
2025-05-07 05:18:32.567632,MCH_0093,78.21,28.89,1.06
2025-05-12 23:48:32.567632,MCH_0045,73.58,35.69,1.5
2025-04-07 19:48:32.567632,MCH_0044,70.24,32.04,1.15
2025-03-30 04:33:32.567632,MCH_0003,80.69,26.79,0.86
2025-03-14 07:03:32.567632,MCH_0001,87.72,29.27,1.02
2025-06-11 12:48:32.567632,MCH_0015,78.44,39.3,0.88
2025-04-13 04:48:32.567632,MCH_0060,77.36,28.16,0.98
2025-05-21 22:48:32.567632,MCH_0070,66.5,30.44,1.74
2025-03-17 03:33:32.567632,MCH_0088,72.48,31.22,1.16
2025-04-20 01:03:32.567632,MCH_0091,81.03,42.54,1.12
2025-06-02 12:03:32.567632,MCH_0066,82.74,27.6,1.65
2025-05-10 00:03:32.567632,MCH_0030,63.17,26.13,1.3
2025-05-23 16:18:32.567632,MCH_0025,78.72,28.9,1.01
2025-06-02 01:18:32.567632,MCH_0080,84.05,37.43,1.14
2025-04-16 10:33:32.567632,MCH_0093,77.62,27.35,1.29
2025-03-29 10:33:32.567632,MCH_0007,73.74,33.15,0.98
2025-04-16 16:03:32.567632,MCH_0087,67.8,28.86,1.62
2025-03-02 06:03:32.567632,MCH_0054,58.29,22.78,1.77
2025-04-29 17:33:32.567632,MCH_0063,60.5,23.95,1.49
2025-03-16 08:03:32.567632,MCH_0078,75.75,33.66,0.75
2025-03-29 09:18:32.567632,MCH_0071,87.72,32.15,1.43
2025-04-18 21:33:32.567632,MCH_0059,79.77,36.47,1.08
2025-05-07 19:33:32.567632,MCH_0085,83.68,30.11,1.57
2025-03-21 14:33:32.567632,MCH_0081,69.34,37.17,1.57
2025-03-24 15:48:32.567632,MCH_0050,89.26,31.84,1.3
2025-04-08 19:18:32.567632,MCH_0064,76.3,30.12,1.04
2025-05-02 13:48:32.567632,MCH_0071,60.7,35.64,1.35
2025-04-04 23:18:32.567632,MCH_0002,86.26,27.43,1.07
2025-03-22 18:33:32.567632,MCH_0046,72.75,30.19,0.74
2025-03-02 08:03:32.567632,MCH_0086,70.62,32.67,1.4
2025-03-12 04:03:32.567632,MCH_0029,58.64,22.07,1.04
2025-05-31 11:48:32.567632,MCH_0063,60.57,38.06,1.24
2025-05-09 10:48:32.567632,MCH_0004,84.57,33.19,1.03
2025-05-15 18:33:32.567632,MCH_0040,71.16,36.6,1.01
2025-04-26 11:03:32.567632,MCH_0026,77.38,28.77,0.89
2025-03-02 22:03:32.567632,MCH_0031,74.71,21.42,1.52
2025-04-18 06:33:32.567632,MCH_0037,83.02,26.87,1.7
2025-05-27 04:48:32.567632,MCH_0022,72.58,27.13,1.03
2025-05-14 13:03:32.567632,MCH_0009,90.78,31.04,1.04
2025-05-02 10:03:32.567632,MCH_0075,64.25,33.35,1.9
2025-03-30 09:33:32.567632,MCH_0005,74.85,37.55,1.5
2025-05-14 09:18:32.567632,MCH_0090,74.67,35.35,1.37
2025-04-25 03:33:32.567632,MCH_0094,79.46,29.14,1.41
2025-06-04 13:48:32.567632,MCH_0095,80.49,33.36,1.1
2025-04-22 15:18:32.567632,MCH_0063,88.56,23.56,0.99
2025-04-22 03:48:32.567632,MCH_0058,75.6,30.05,1.27
2025-03-31 12:48:32.567632,MCH_0080,70.54,38.26,1.32
2025-05-05 05:03:32.567632,MCH_0073,88.95,31.38,1.22
2025-03-06 07:48:32.567632,MCH_0036,70.31,31.88,1.1
2025-05-15 04:48:32.567632,MCH_0058,78.08,32.5,1.49
2025-03-19 14:03:32.567632,MCH_0075,64.79,31.79,0.91
2025-05-19 06:18:32.567632,MCH_0079,91.9,28.9,1.29
2025-03-13 23:33:32.567632,MCH_0055,89.47,32.4,1.6
2025-04-10 05:48:32.567632,MCH_0084,57.88,36.44,1.0
2025-03-31 20:48:32.567632,MCH_0041,80.03,35.97,1.12
2025-03-15 13:03:32.567632,MCH_0043,55.12,28.39,0.99
2025-05-15 16:33:32.567632,MCH_0070,79.19,27.13,1.44
2025-03-12 03:33:32.567632,MCH_0004,86.7,39.48,1.09
2025-04-12 01:48:32.567632,MCH_0015,80.29,30.23,1.37
2025-03-13 05:33:32.567632,MCH_0089,75.01,27.86,0.65
2025-05-29 01:03:32.567632,MCH_0059,102.21,36.03,0.94
2025-05-27 19:48:32.567632,MCH_0002,86.54,37.69,0.98
2025-05-02 18:33:32.567632,MCH_0024,89.48,30.79,1.3
2025-06-05 13:18:32.567632,MCH_0032,82.06,30.35,1.22
2025-03-14 01:48:32.567632,MCH_0050,85.97,42.49,0.99
2025-05-13 18:33:32.567632,MCH_0065,81.71,31.44,1.6
2025-03-24 14:33:32.567632,MCH_0098,78.1,22.19,1.47
2025-03-08 19:33:32.567632,MCH_0031,60.26,21.23,1.47
2025-04-09 05:18:32.567632,MCH_0061,65.85,26.78,1.28
2025-03-14 01:18:32.567632,MCH_0043,75.42,32.27,0.74
2025-05-02 20:33:32.567632,MCH_0080,66.18,33.44,1.26
2025-05-05 18:48:32.567632,MCH_0041,81.06,30.0,1.04
2025-05-25 15:18:32.567632,MCH_0033,77.38,19.21,2.17
2025-04-06 15:48:32.567632,MCH_0027,71.79,29.92,0.94
2025-05-27 08:03:32.567632,MCH_0019,73.71,31.81,1.49
2025-06-09 01:33:32.567632,MCH_0046,62.12,32.13,1.63
2025-04-05 06:48:32.567632,MCH_0029,52.11,34.5,1.13
2025-06-11 09:48:32.567632,MCH_0097,53.3,30.37,1.01
2025-05-28 12:18:32.567632,MCH_0089,71.0,22.08,0.97
2025-03-29 09:18:32.567632,MCH_0067,75.42,28.68,0.94
2025-03-16 02:48:32.567632,MCH_0037,51.14,38.17,0.74
2025-06-03 07:18:32.567632,MCH_0056,79.41,35.73,1.11
2025-05-10 16:33:32.567632,MCH_0020,79.04,29.48,0.87
2025-04-27 17:48:32.567632,MCH_0002,60.41,26.28,1.9
2025-04-02 11:33:32.567632,MCH_0072,87.3,29.21,1.5
2025-05-28 07:33:32.567632,MCH_0052,73.24,22.15,1.1
2025-04-20 02:03:32.567632,MCH_0023,82.0,34.98,1.51
2025-04-03 13:03:32.567632,MCH_0047,77.91,30.01,1.11
2025-04-04 17:03:32.567632,MCH_0021,98.26,12.16,1.24
2025-06-11 12:03:32.567632,MCH_0005,79.83,42.5,1.36
2025-06-08 19:48:32.567632,MCH_0021,57.27,25.27,1.42
2025-05-25 05:33:32.567632,MCH_0021,67.76,28.14,0.93
2025-05-23 02:33:32.567632,MCH_0010,79.08,32.95,1.32
2025-06-12 23:03:32.567632,MCH_0028,57.02,25.92,1.08
2025-05-08 06:33:32.567632,MCH_0069,90.95,22.11,1.22
2025-03-25 18:33:32.567632,MCH_0067,79.82,37.54,1.37
2025-03-14 11:33:32.567632,MCH_0009,76.41,27.95,1.28
2025-05-05 10:33:32.567632,MCH_0019,81.96,38.47,1.32
2025-05-04 11:03:32.567632,MCH_0064,73.59,28.52,1.45
2025-03-06 22:18:32.567632,MCH_0067,88.43,29.99,1.29
2025-05-01 09:18:32.567632,MCH_0055,71.76,30.12,1.2
2025-03-11 21:03:32.567632,MCH_0013,77.74,28.97,1.24
2025-05-26 08:33:32.567632,MCH_0044,67.2,28.31,1.6
2025-06-03 14:33:32.567632,MCH_0003,77.71,32.47,1.2
2025-05-20 05:03:32.567632,MCH_0001,76.69,24.04,1.21
2025-03-20 09:18:32.567632,MCH_0034,82.17,33.77,1.01
2025-05-16 11:03:32.567632,MCH_0017,79.89,39.71,1.48
2025-05-03 10:48:32.567632,MCH_0056,98.29,23.22,1.32
2025-04-12 22:03:32.567632,MCH_0060,59.21,23.21,0.95
2025-05-21 08:03:32.567632,MCH_0083,92.03,36.06,1.12
2025-05-15 14:33:32.567632,MCH_0075,67.66,27.35,1.0
2025-04-12 21:03:32.567632,MCH_0064,77.13,39.64,0.98
2025-03-23 18:18:32.567632,MCH_0100,78.23,28.42,0.88
2025-05-01 13:18:32.567632,MCH_0032,64.07,28.58,1.16
2025-05-12 09:48:32.567632,MCH_0004,57.03,32.03,2.26
2025-05-28 21:48:32.567632,MCH_0026,63.06,30.37,1.17
2025-03-18 15:48:32.567632,MCH_0011,74.06,29.46,1.29
2025-04-11 07:48:32.567632,MCH_0077,77.43,22.42,1.65
2025-05-18 14:18:32.567632,MCH_0097,68.26,17.44,1.31
2025-04-02 06:33:32.567632,MCH_0019,77.22,30.48,0.73
2025-04-22 03:48:32.567632,MCH_0026,79.34,29.3,1.23
2025-06-02 14:33:32.567632,MCH_0095,80.68,36.94,1.63
2025-04-01 20:03:32.567632,MCH_0020,72.48,28.48,1.47
2025-05-14 19:18:32.567632,MCH_0080,64.91,29.6,1.38
2025-04-07 09:03:32.567632,MCH_0082,68.82,35.99,1.67
2025-06-10 00:33:32.567632,MCH_0089,77.92,24.24,0.61
2025-05-10 00:48:32.567632,MCH_0026,63.84,22.09,1.09
2025-05-03 03:33:32.567632,MCH_0029,90.26,32.81,0.69
2025-05-14 02:48:32.567632,MCH_0063,57.95,32.62,0.96
2025-05-20 12:18:32.567632,MCH_0059,62.71,35.5,1.16
2025-04-04 14:48:32.567632,MCH_0088,69.52,31.3,1.53
2025-06-10 13:18:32.567632,MCH_0035,69.62,31.55,1.4
2025-05-24 10:03:32.567632,MCH_0003,65.43,30.62,0.98
2025-04-14 21:33:32.567632,MCH_0004,82.02,24.08,1.01
2025-05-31 23:18:32.567632,MCH_0074,97.56,31.22,1.33
2025-05-03 21:48:32.567632,MCH_0075,69.98,32.12,1.35
2025-06-05 23:03:32.567632,MCH_0041,70.77,22.78,1.03
2025-03-16 01:48:32.567632,MCH_0015,67.77,43.64,1.91
2025-05-31 08:03:32.567632,MCH_0064,71.81,33.05,0.76
2025-03-16 23:33:32.567632,MCH_0060,69.1,24.31,0.95
2025-04-30 23:48:32.567632,MCH_0023,84.04,27.76,1.46
2025-03-18 21:03:32.567632,MCH_0070,72.79,30.85,1.06
2025-05-02 10:18:32.567632,MCH_0041,75.94,35.3,1.96
2025-04-25 04:33:32.567632,MCH_0003,63.55,29.6,0.92
2025-04-09 15:03:32.567632,MCH_0004,75.11,27.87,1.53
2025-04-14 16:03:32.567632,MCH_0054,85.25,29.42,1.55
2025-03-24 17:18:32.567632,MCH_0074,55.22,33.66,1.3
2025-06-05 01:03:32.567632,MCH_0087,92.79,26.7,1.08
2025-05-24 03:48:32.567632,MCH_0091,89.9,31.29,0.88
2025-03-12 15:48:32.567632,MCH_0065,79.41,28.22,1.25
2025-05-22 21:18:32.567632,MCH_0044,74.07,30.05,0.5
2025-04-16 18:03:32.567632,MCH_0021,68.34,41.43,1.08
2025-04-05 10:48:32.567632,MCH_0009,73.22,40.67,1.16
2025-03-28 19:48:32.567632,MCH_0061,86.27,31.48,1.2
2025-05-27 14:33:32.567632,MCH_0085,91.52,25.48,1.61
2025-04-23 00:48:32.567632,MCH_0084,72.59,31.76,0.45
2025-06-07 13:03:32.567632,MCH_0023,71.9,25.9,1.51
2025-05-31 02:48:32.567632,MCH_0064,63.98,22.36,1.11
2025-05-11 00:18:32.567632,MCH_0076,76.17,33.24,1.21
2025-03-02 22:03:32.567632,MCH_0080,56.08,22.79,1.22
2025-04-21 00:03:32.567632,MCH_0063,65.23,28.7,1.21
2025-04-12 09:03:32.567632,MCH_0020,82.66,28.22,0.84
2025-05-07 20:18:32.567632,MCH_0087,59.9,31.22,0.83
2025-03-05 03:48:32.567632,MCH_0068,80.76,31.98,1.54
2025-04-09 17:48:32.567632,MCH_0095,60.48,25.38,0.84
2025-05-09 23:18:32.567632,MCH_0087,65.29,25.87,1.12
2025-04-21 03:18:32.567632,MCH_0066,92.64,36.7,1.67
2025-03-27 11:18:32.567632,MCH_0018,84.3,24.17,1.32
2025-03-11 12:48:32.567632,MCH_0027,60.67,28.73,1.32
2025-04-17 16:33:32.567632,MCH_0035,79.7,28.74,1.72
2025-05-21 03:18:32.567632,MCH_0053,69.5,29.27,1.36
2025-05-22 06:03:32.567632,MCH_0066,85.04,26.44,1.26
2025-06-08 02:18:32.567632,MCH_0010,60.71,33.4,1.41
2025-03-31 11:18:32.567632,MCH_0078,51.23,34.81,1.37
2025-05-26 08:18:32.567632,MCH_0043,74.92,28.48,1.34
2025-05-08 23:33:32.567632,MCH_0050,58.9,34.7,1.18
2025-03-23 14:48:32.567632,MCH_0086,54.01,25.73,0.81
2025-06-05 14:48:32.567632,MCH_0080,87.29,34.18,1.5
2025-03-16 22:33:32.567632,MCH_0061,60.44,35.79,2.03
2025-04-08 11:03:32.567632,MCH_0058,77.65,29.23,2.03
2025-06-08 03:33:32.567632,MCH_0073,74.67,30.56,1.18
2025-03-28 09:48:32.567632,MCH_0033,77.02,24.52,1.21
2025-03-24 16:33:32.567632,MCH_0095,56.2,26.42,1.62
2025-03-07 13:48:32.567632,MCH_0020,71.96,24.62,1.05
2025-04-07 08:33:32.567632,MCH_0051,85.99,33.58,1.64
2025-03-13 20:48:32.567632,MCH_0033,64.57,28.13,0.94
2025-04-06 23:03:32.567632,MCH_0058,90.33,27.08,1.27
2025-05-01 15:18:32.567632,MCH_0067,77.67,32.58,1.92
2025-04-05 20:48:32.567632,MCH_0056,76.46,24.69,1.12
2025-06-10 21:03:32.567632,MCH_0032,92.03,30.16,0.92
2025-06-05 09:03:32.567632,MCH_0036,76.93,33.73,0.41
2025-04-21 12:33:32.567632,MCH_0096,73.71,28.94,1.32
2025-05-19 15:03:32.567632,MCH_0023,64.18,31.66,1.15
2025-04-08 00:03:32.567632,MCH_0059,77.82,34.19,0.76
2025-03-17 02:33:32.567632,MCH_0021,61.15,33.38,1.47
2025-03-12 01:33:32.567632,MCH_0025,81.37,30.49,1.21
2025-03-02 20:33:32.567632,MCH_0008,71.93,27.73,0.9
2025-06-12 07:33:32.567632,MCH_0052,92.96,30.9,1.15
2025-05-21 11:33:32.567632,MCH_0003,79.93,24.23,1.66
2025-03-03 11:33:32.567632,MCH_0005,68.99,32.47,1.02
2025-03-01 07:33:32.567632,MCH_0076,85.66,25.07,1.41
2025-05-15 00:33:32.567632,MCH_0099,77.62,28.67,1.16
2025-05-02 16:18:32.567632,MCH_0036,76.68,30.18,1.2
2025-04-15 21:48:32.567632,MCH_0078,54.5,32.41,0.96
2025-05-08 19:48:32.567632,MCH_0045,82.81,36.35,1.14
2025-04-29 12:33:32.567632,MCH_0018,90.48,30.17,1.23
2025-06-09 10:03:32.567632,MCH_0015,67.87,37.63,1.11
2025-06-10 21:33:32.567632,MCH_0081,76.22,23.39,1.4
2025-03-09 06:48:32.567632,MCH_0046,82.24,34.3,1.29
2025-05-21 11:18:32.567632,MCH_0009,72.02,23.93,1.22
2025-03-21 20:33:32.567632,MCH_0003,80.31,31.98,0.61
2025-05-14 11:33:32.567632,MCH_0027,66.37,31.36,1.22
2025-06-04 06:18:32.567632,MCH_0074,74.6,32.27,1.21
2025-03-21 14:18:32.567632,MCH_0052,75.06,30.46,1.5
2025-05-12 23:48:32.567632,MCH_0046,83.92,29.55,1.07
2025-05-17 14:18:32.567632,MCH_0041,73.79,34.63,1.35
2025-03-18 22:03:32.567632,MCH_0055,60.63,33.47,1.59
2025-05-06 01:18:32.567632,MCH_0062,85.53,34.17,1.63
2025-03-01 22:18:32.567632,MCH_0092,93.45,24.92,1.71
2025-05-02 23:48:32.567632,MCH_0085,102.11,29.14,1.51
2025-06-04 01:48:32.567632,MCH_0007,51.98,33.76,0.92
2025-03-11 08:48:32.567632,MCH_0036,86.11,27.93,0.78
2025-05-29 10:03:32.567632,MCH_0037,71.34,28.97,1.58
2025-05-30 00:48:32.567632,MCH_0029,85.95,34.6,0.99
2025-05-29 03:33:32.567632,MCH_0058,66.84,21.14,1.59
2025-05-03 05:18:32.567632,MCH_0080,67.49,30.62,1.04
2025-04-22 15:48:32.567632,MCH_0065,73.25,37.07,1.08
2025-04-08 23:33:32.567632,MCH_0051,66.77,26.74,0.64
2025-03-07 05:18:32.567632,MCH_0051,69.01,31.38,1.08
2025-03-06 20:33:32.567632,MCH_0099,81.72,28.88,0.94
2025-03-19 09:03:32.567632,MCH_0033,72.97,22.31,0.58
2025-03-10 19:48:32.567632,MCH_0093,93.13,35.1,1.38
2025-04-10 07:48:32.567632,MCH_0047,79.4,34.66,0.97
2025-03-21 21:03:32.567632,MCH_0045,74.48,30.62,1.47
2025-05-27 17:18:32.567632,MCH_0049,63.75,34.6,1.25
2025-05-05 01:18:32.567632,MCH_0043,67.17,25.95,0.91
2025-05-26 09:03:32.567632,MCH_0032,94.6,34.21,1.59
2025-05-21 17:18:32.567632,MCH_0075,72.98,27.87,1.41
2025-06-01 00:03:32.567632,MCH_0079,73.53,30.67,1.41
2025-05-27 09:48:32.567632,MCH_0005,54.25,23.5,0.89
2025-05-17 15:33:32.567632,MCH_0043,62.78,30.39,1.29
2025-04-07 06:03:32.567632,MCH_0061,92.92,28.42,1.4
2025-03-21 02:33:32.567632,MCH_0071,72.42,23.67,1.45
2025-04-19 13:48:32.567632,MCH_0054,68.77,23.46,1.66
2025-06-12 14:18:32.567632,MCH_0046,66.54,33.12,1.06
2025-03-13 15:48:32.567632,MCH_0017,64.43,39.56,1.36
2025-03-02 08:03:32.567632,MCH_0085,80.03,36.49,0.99
2025-03-09 15:48:32.567632,MCH_0092,83.66,30.11,0.95
2025-03-02 20:33:32.567632,MCH_0077,59.54,26.34,1.38
2025-04-05 10:18:32.567632,MCH_0003,84.18,32.99,1.2
2025-04-26 14:18:32.567632,MCH_0037,86.46,26.92,0.95
2025-05-22 05:48:32.567632,MCH_0064,82.39,33.54,0.94
2025-06-05 21:18:32.567632,MCH_0011,78.19,27.78,0.82
2025-05-12 17:33:32.567632,MCH_0040,77.15,26.31,0.91
2025-06-07 11:03:32.567632,MCH_0021,76.3,36.56,1.0
2025-04-05 13:18:32.567632,MCH_0083,69.08,32.93,0.8
2025-05-27 00:03:32.567632,MCH_0066,52.59,40.32,1.21
2025-06-03 01:33:32.567632,MCH_0022,66.81,33.43,1.34
2025-05-19 06:18:32.567632,MCH_0049,75.03,30.0,1.58
2025-05-17 18:48:32.567632,MCH_0034,78.69,35.76,1.54
2025-05-11 20:03:32.567632,MCH_0050,56.08,22.16,1.62
2025-06-07 21:03:32.567632,MCH_0097,69.36,28.87,1.26
2025-04-28 10:48:32.567632,MCH_0048,81.26,23.08,1.41
2025-04-18 15:18:32.567632,MCH_0094,68.47,30.13,0.88
